STRAIN1	STRAIN2	COUNT
NASAJPL_S_N-308-IC-B1 NASAJPL_JS3-R1tNASAJPL_S_N-308-IC-B1 NASAJPL_JS3-R1tNASAJPL_S_N-308-IC-B1 NASAJPL_JS3-R1t57980
NASAJPL_VS_III_B_KN_t IFM_55763tNASAJPL_VS_III_B_KN_t IFM_55763tNASAJPL_VS_III_B_KN_t IFM_55763t46554
NASAJPL_S_N-308-IC-B1 WU-2223LtNASAJPL_S_N-308-IC-B1 WU-2223LtNASAJPL_S_N-308-IC-B1 WU-2223Lt30908
NASAJPL_S_N-308-IC-B1 RIB2631tNASAJPL_S_N-308-IC-B1 RIB2631tNASAJPL_S_N-308-IC-B1 RIB2631t58591
NASAJPL_VS_III_B_KN_t IFM_61612tNASAJPL_VS_III_B_KN_t IFM_61612tNASAJPL_VS_III_B_KN_t IFM_61612t46680
NASAJPL_VS_III_B_KN_t MOD1-FUNGI3tNASAJPL_VS_III_B_KN_t MOD1-FUNGI3tNASAJPL_VS_III_B_KN_t MOD1-FUNGI3t51104
NASAJPL_VS_III_B_KN_t JCM22299tNASAJPL_VS_III_B_KN_t JCM22299tNASAJPL_VS_III_B_KN_t JCM22299t43279
NASAJPL_VS_III_B_KN_t NASAJPL_JS3-P2tNASAJPL_VS_III_B_KN_t NASAJPL_JS3-P2tNASAJPL_VS_III_B_KN_t NASAJPL_JS3-P2t59324
NASAJPL_VS_III_B_KN_t RIB2036tNASAJPL_VS_III_B_KN_t RIB2036tNASAJPL_VS_III_B_KN_t RIB2036t45939
NASAJPL_VS_III_B_KN_t NASAJPL_S_N-302-OC-P2tNASAJPL_VS_III_B_KN_t NASAJPL_S_N-302-OC-P2tNASAJPL_VS_III_B_KN_t NASAJPL_S_N-302-OC-P2t53329
NASAJPL_VS_III_B_KN_t IFM_57143tNASAJPL_VS_III_B_KN_t IFM_57143tNASAJPL_VS_III_B_KN_t IFM_57143t44674
NASAJPL_VS_III_B_KN_t NASAJPL_S_N-304-OC-P1tNASAJPL_VS_III_B_KN_t NASAJPL_S_N-304-OC-P1tNASAJPL_VS_III_B_KN_t NASAJPL_S_N-304-OC-P1t44716
NASAJPL_VS_III_B_KN_t NASAJPL_S_N-308-IC-B1tNASAJPL_VS_III_B_KN_t NASAJPL_S_N-308-IC-B1tNASAJPL_VS_III_B_KN_t NASAJPL_S_N-308-IC-B1t42071
NASAJPL_VS_III_B_KN_t IFM_57258tNASAJPL_VS_III_B_KN_t IFM_57258tNASAJPL_VS_III_B_KN_t IFM_57258t124965
NASAJPL_VS_III_B_KN_t JCM22294tNASAJPL_VS_III_B_KN_t JCM22294tNASAJPL_VS_III_B_KN_t JCM22294t43289
NRRL_4875 CBS_134.48tNRRL_4875 CBS_134.48tNRRL_4875 CBS_134.48t75501
NASAJPL_VS_III_B_KN_t RIB2631tNASAJPL_VS_III_B_KN_t RIB2631tNASAJPL_VS_III_B_KN_t RIB2631t56274
NASAJPL_VS_III_B_KN_t JCM22295tNASAJPL_VS_III_B_KN_t JCM22295tNASAJPL_VS_III_B_KN_t JCM22295t129911
NASAJPL_VS_III_B_KN_t RIB2623tNASAJPL_VS_III_B_KN_t RIB2623tNASAJPL_VS_III_B_KN_t RIB2623t43300
NASAJPL_VS_III_B_KN_t NASAJPL_JS3-R1tNASAJPL_VS_III_B_KN_t NASAJPL_JS3-R1tNASAJPL_VS_III_B_KN_t NASAJPL_JS3-R1t58070
NASAJPL_VS_III_B_KN_t MOD1-FUNGI4tNASAJPL_VS_III_B_KN_t MOD1-FUNGI4tNASAJPL_VS_III_B_KN_t MOD1-FUNGI4t51605
NRRL_4875 IFM_54640tNRRL_4875 IFM_54640tNRRL_4875 IFM_54640t49530
NASAJPL_VS_III_B_KN_t NRRL_4875tNASAJPL_VS_III_B_KN_t NRRL_4875tNASAJPL_VS_III_B_KN_t NRRL_4875t42317
NASAJPL_VS_III_B_KN_t JCM22302tNASAJPL_VS_III_B_KN_t JCM22302tNASAJPL_VS_III_B_KN_t JCM22302t208554
NRRL_4875 DFAtNRRL_4875 DFAtNRRL_4875 DFAt52893
NASAJPL_VS_III_B_KN_t WU-2223LtNASAJPL_VS_III_B_KN_t WU-2223LtNASAJPL_VS_III_B_KN_t WU-2223Lt42705
NRRL_4875 IFM_55763tNRRL_4875 IFM_55763tNRRL_4875 IFM_55763t35294
NRRL_4875 IFM_61612tNRRL_4875 IFM_61612tNRRL_4875 IFM_61612t35926
NRRL_4875 IFM_57143tNRRL_4875 IFM_57143tNRRL_4875 IFM_57143t36031
NRRL_4875 JCM22294tNRRL_4875 JCM22294tNRRL_4875 JCM22294t35863
NRRL_4875 IFM_56815tNRRL_4875 IFM_56815tNRRL_4875 IFM_56815t40617
NRRL_4875 JCM22295tNRRL_4875 JCM22295tNRRL_4875 JCM22295t127480
NRRL_4875 IFM_57258tNRRL_4875 IFM_57258tNRRL_4875 IFM_57258t123611
NRRL_4875 MOD1-FUNGI4tNRRL_4875 MOD1-FUNGI4tNRRL_4875 MOD1-FUNGI4t46468
NRRL_4875 JCM22299tNRRL_4875 JCM22299tNRRL_4875 JCM22299t36019
NRRL_4875 MOD1-FUNGI3tNRRL_4875 MOD1-FUNGI3tNRRL_4875 MOD1-FUNGI3t45311
NRRL_4875 JCM22302tNRRL_4875 JCM22302tNRRL_4875 JCM22302t204858
NRRL_4875 NASAJPL_JS3-R1tNRRL_4875 NASAJPL_JS3-R1tNRRL_4875 NASAJPL_JS3-R1t55059
NRRL_4875 NASAJPL_JS3-P2tNRRL_4875 NASAJPL_JS3-P2tNRRL_4875 NASAJPL_JS3-P2t56643
NRRL_4875 NASAJPL_S_N-302-OC-P2tNRRL_4875 NASAJPL_S_N-302-OC-P2tNRRL_4875 NASAJPL_S_N-302-OC-P2t47265
RIB2036 JCM22294tRIB2036 JCM22294tRIB2036 JCM22294t34327
NRRL_4875 RIB2036tNRRL_4875 RIB2036tNRRL_4875 RIB2036t37832
NRRL_4875 NASAJPL_S_N-304-OC-P1tNRRL_4875 NASAJPL_S_N-304-OC-P1tNRRL_4875 NASAJPL_S_N-304-OC-P1t32285
NRRL_4875 NASAJPL_S_N-308-IC-B1tNRRL_4875 NASAJPL_S_N-308-IC-B1tNRRL_4875 NASAJPL_S_N-308-IC-B1t40710
RIB2036 CBS_134.48tRIB2036 CBS_134.48tRIB2036 CBS_134.48t75941
NRRL_4875 NASAJPL_VS_III_B_KN_ttNRRL_4875 NASAJPL_VS_III_B_KN_ttNRRL_4875 NASAJPL_VS_III_B_KN_tt42317
NRRL_4875 RIB2631tNRRL_4875 RIB2631tNRRL_4875 RIB2631t55199
RIB2036 IFM_57143tRIB2036 IFM_57143tRIB2036 IFM_57143t41004
RIB2036 IFM_54640tRIB2036 IFM_54640tRIB2036 IFM_54640t44294
RIB2036 IFM_55763tRIB2036 IFM_55763tRIB2036 IFM_55763t33006
NRRL_4875 RIB2623tNRRL_4875 RIB2623tNRRL_4875 RIB2623t35971
RIB2036 JCM22299tRIB2036 JCM22299tRIB2036 JCM22299t34719
RIB2036 DFAtRIB2036 DFAtRIB2036 DFAt57096
NRRL_4875 WU-2223LtNRRL_4875 WU-2223LtNRRL_4875 WU-2223Lt36362
RIB2036 IFM_61612tRIB2036 IFM_61612tRIB2036 IFM_61612t38652
RIB2036 IFM_56815tRIB2036 IFM_56815tRIB2036 IFM_56815t44195
RIB2036 NASAJPL_S_N-302-OC-P2tRIB2036 NASAJPL_S_N-302-OC-P2tRIB2036 NASAJPL_S_N-302-OC-P2t53637
RIB2036 NASAJPL_JS3-P2tRIB2036 NASAJPL_JS3-P2tRIB2036 NASAJPL_JS3-P2t59836
RIB2623 DFAtRIB2623 DFAtRIB2623 DFAt53134
RIB2036 MOD1-FUNGI4tRIB2036 MOD1-FUNGI4tRIB2036 MOD1-FUNGI4t49037
RIB2036 NASAJPL_VS_III_B_KN_ttRIB2036 NASAJPL_VS_III_B_KN_ttRIB2036 NASAJPL_VS_III_B_KN_tt45939
RIB2036 RIB2623tRIB2036 RIB2623tRIB2036 RIB2623t34006
RIB2036 RIB2631tRIB2036 RIB2631tRIB2036 RIB2631t57519
RIB2036 NASAJPL_S_N-308-IC-B1tRIB2036 NASAJPL_S_N-308-IC-B1tRIB2036 NASAJPL_S_N-308-IC-B1t36616
RIB2036 NRRL_4875tRIB2036 NRRL_4875tRIB2036 NRRL_4875t37832
RIB2036 WU-2223LtRIB2036 WU-2223LtRIB2036 WU-2223Lt34477
RIB2036 IFM_57258tRIB2036 IFM_57258tRIB2036 IFM_57258t126057
RIB2036 MOD1-FUNGI3tRIB2036 MOD1-FUNGI3tRIB2036 MOD1-FUNGI3t48558
RIB2036 NASAJPL_JS3-R1tRIB2036 NASAJPL_JS3-R1tRIB2036 NASAJPL_JS3-R1t58470
RIB2036 JCM22302tRIB2036 JCM22302tRIB2036 JCM22302t209137
RIB2623 IFM_57143tRIB2623 IFM_57143tRIB2623 IFM_57143t36103
RIB2623 JCM22299tRIB2623 JCM22299tRIB2623 JCM22299t3754
RIB2036 NASAJPL_S_N-304-OC-P1tRIB2036 NASAJPL_S_N-304-OC-P1tRIB2036 NASAJPL_S_N-304-OC-P1t37756
RIB2623 IFM_56815tRIB2623 IFM_56815tRIB2623 IFM_56815t38307
RIB2623 IFM_55763tRIB2623 IFM_55763tRIB2623 IFM_55763t37965
RIB2623 NASAJPL_S_N-308-IC-B1tRIB2623 NASAJPL_S_N-308-IC-B1tRIB2623 NASAJPL_S_N-308-IC-B1t32325
RIB2036 JCM22295tRIB2036 JCM22295tRIB2036 JCM22295t130365
RIB2623 IFM_54640tRIB2623 IFM_54640tRIB2623 IFM_54640t46508
RIB2623 CBS_134.48tRIB2623 CBS_134.48tRIB2623 CBS_134.48t73154
RIB2623 IFM_61612tRIB2623 IFM_61612tRIB2623 IFM_61612t34899
RIB2623 NASAJPL_S_N-304-OC-P1tRIB2623 NASAJPL_S_N-304-OC-P1tRIB2623 NASAJPL_S_N-304-OC-P1t35849
RIB2623 MOD1-FUNGI4tRIB2623 MOD1-FUNGI4tRIB2623 MOD1-FUNGI4t46647
RIB2623 JCM22294tRIB2623 JCM22294tRIB2623 JCM22294t2799
RIB2623 NASAJPL_JS3-R1tRIB2623 NASAJPL_JS3-R1tRIB2623 NASAJPL_JS3-R1t55950
RIB2623 IFM_57258tRIB2623 IFM_57258tRIB2623 IFM_57258t122836
RIB2623 MOD1-FUNGI3tRIB2623 MOD1-FUNGI3tRIB2623 MOD1-FUNGI3t45810
RIB2623 WU-2223LtRIB2623 WU-2223LtRIB2623 WU-2223Lt5042
RIB2623 NASAJPL_VS_III_B_KN_ttRIB2623 NASAJPL_VS_III_B_KN_ttRIB2623 NASAJPL_VS_III_B_KN_tt43300
RIB2623 JCM22295tRIB2623 JCM22295tRIB2623 JCM22295t126762
RIB2623 RIB2631tRIB2623 RIB2631tRIB2623 RIB2631t55886
RIB2623 NASAJPL_S_N-302-OC-P2tRIB2623 NASAJPL_S_N-302-OC-P2tRIB2623 NASAJPL_S_N-302-OC-P2t51134
RIB2631 IFM_54640tRIB2631 IFM_54640tRIB2631 IFM_54640t61201
RIB2623 NASAJPL_JS3-P2tRIB2623 NASAJPL_JS3-P2tRIB2623 NASAJPL_JS3-P2t57940
RIB2631 DFAtRIB2631 DFAtRIB2631 DFAt54562
RIB2631 IFM_55763tRIB2631 IFM_55763tRIB2631 IFM_55763t56874
RIB2623 RIB2036tRIB2623 RIB2036tRIB2623 RIB2036t34006
RIB2631 CBS_134.48tRIB2631 CBS_134.48tRIB2631 CBS_134.48t73794
RIB2623 NRRL_4875tRIB2623 NRRL_4875tRIB2623 NRRL_4875t35971
RIB2631 NASAJPL_JS3-R1tRIB2631 NASAJPL_JS3-R1tRIB2631 NASAJPL_JS3-R1t47697
RIB2631 MOD1-FUNGI4tRIB2631 MOD1-FUNGI4tRIB2631 MOD1-FUNGI4t49970
RIB2631 IFM_61612tRIB2631 IFM_61612tRIB2631 IFM_61612t57723
RIB2631 MOD1-FUNGI3tRIB2631 MOD1-FUNGI3tRIB2631 MOD1-FUNGI3t49001
RIB2631 IFM_56815tRIB2631 IFM_56815tRIB2631 IFM_56815t57972
RIB2631 RIB2036tRIB2631 RIB2036tRIB2631 RIB2036t57519
RIB2631 JCM22299tRIB2631 JCM22299tRIB2631 JCM22299t55057
RIB2631 NASAJPL_S_N-308-IC-B1tRIB2631 NASAJPL_S_N-308-IC-B1tRIB2631 NASAJPL_S_N-308-IC-B1t58591
RIB2631 NASAJPL_S_N-304-OC-P1tRIB2631 NASAJPL_S_N-304-OC-P1tRIB2631 NASAJPL_S_N-304-OC-P1t55652
RIB2631 IFM_57258tRIB2631 IFM_57258tRIB2631 IFM_57258t123736
RIB2631 JCM22294tRIB2631 JCM22294tRIB2631 JCM22294t55273
RIB2631 IFM_57143tRIB2631 IFM_57143tRIB2631 IFM_57143t56778
RIB2623 JCM22302tRIB2623 JCM22302tRIB2623 JCM22302t205113
RIB2631 NRRL_4875tRIB2631 NRRL_4875tRIB2631 NRRL_4875t55199
RIB2631 NASAJPL_S_N-302-OC-P2tRIB2631 NASAJPL_S_N-302-OC-P2tRIB2631 NASAJPL_S_N-302-OC-P2t50658
RIB2631 JCM22295tRIB2631 JCM22295tRIB2631 JCM22295t128487
RIB2631 RIB2623tRIB2631 RIB2623tRIB2631 RIB2623t55886
RIB2631 NASAJPL_VS_III_B_KN_ttRIB2631 NASAJPL_VS_III_B_KN_ttRIB2631 NASAJPL_VS_III_B_KN_tt56274
RIB2631 NASAJPL_JS3-P2tRIB2631 NASAJPL_JS3-P2tRIB2631 NASAJPL_JS3-P2t45147
WU-2223L DFAtWU-2223L DFAtWU-2223L DFAt54528
WU-2223L CBS_134.48tWU-2223L CBS_134.48tWU-2223L CBS_134.48t73480
WU-2223L IFM_55763tWU-2223L IFM_55763tWU-2223L IFM_55763t37350
WU-2223L IFM_56815tWU-2223L IFM_56815tWU-2223L IFM_56815t37475
RIB2631 WU-2223LtRIB2631 WU-2223LtRIB2631 WU-2223Lt57828
WU-2223L IFM_54640tWU-2223L IFM_54640tWU-2223L IFM_54640t46715
WU-2223L IFM_61612tWU-2223L IFM_61612tWU-2223L IFM_61612t33725
WU-2223L IFM_57143tWU-2223L IFM_57143tWU-2223L IFM_57143t36952
WU-2223L MOD1-FUNGI3tWU-2223L MOD1-FUNGI3tWU-2223L MOD1-FUNGI3t46730
WU-2223L NASAJPL_S_N-304-OC-P1tWU-2223L NASAJPL_S_N-304-OC-P1tWU-2223L NASAJPL_S_N-304-OC-P1t35646
WU-2223L NASAJPL_S_N-308-IC-B1tWU-2223L NASAJPL_S_N-308-IC-B1tWU-2223L NASAJPL_S_N-308-IC-B1t30908
WU-2223L RIB2623tWU-2223L RIB2623tWU-2223L RIB2623t5042
WU-2223L JCM22294tWU-2223L JCM22294tWU-2223L JCM22294t5523
WU-2223L JCM22299tWU-2223L JCM22299tWU-2223L JCM22299t6370
WU-2223L RIB2036tWU-2223L RIB2036tWU-2223L RIB2036t34477
WU-2223L NASAJPL_S_N-302-OC-P2tWU-2223L NASAJPL_S_N-302-OC-P2tWU-2223L NASAJPL_S_N-302-OC-P2t51817
WU-2223L NASAJPL_JS3-P2tWU-2223L NASAJPL_JS3-P2tWU-2223L NASAJPL_JS3-P2t58982
WU-2223L NASAJPL_JS3-R1tWU-2223L NASAJPL_JS3-R1tWU-2223L NASAJPL_JS3-R1t57298
WU-2223L NRRL_4875tWU-2223L NRRL_4875tWU-2223L NRRL_4875t36362
WU-2223L NASAJPL_VS_III_B_KN_ttWU-2223L NASAJPL_VS_III_B_KN_ttWU-2223L NASAJPL_VS_III_B_KN_tt42705
WU-2223L MOD1-FUNGI4tWU-2223L MOD1-FUNGI4tWU-2223L MOD1-FUNGI4t47101
WU-2223L RIB2631tWU-2223L RIB2631tWU-2223L RIB2631t57828
RIB2631 JCM22302tRIB2631 JCM22302tRIB2631 JCM22302t206272
WU-2223L JCM22295tWU-2223L JCM22295tWU-2223L JCM22295t128246
WU-2223L IFM_57258tWU-2223L IFM_57258tWU-2223L IFM_57258t124148
WU-2223L JCM22302tWU-2223L JCM22302tWU-2223L JCM22302t206567
